"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"1","OWID_AFR",NA,"아프리카",2022-10-03,12358785,754,907.714,256770,6,5.714,8662.275,0.528,0.636,179.97,0.004,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641899885,406819689,324775344,51866086,1264007,1243576,44.99,28.51,22.76,3.64,872,930928,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426736614,NA,NA,NA,NA
"2","OWID_ASI",NA,"아시아",2022-10-03,185738973,84967,128301.714,1485943,205,284.429,39339.947,17.996,27.175,314.726,0.043,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8714697094,3607698126,3388726446,1651091760,2909050,3691338,184.58,76.41,71.77,34.97,782,203880,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4721383370,NA,NA,NA,NA
"3","OWID_EUR",NA,"유럽",2022-10-03,229917555,168183,232051.857,1944145,438,510.714,308693.805,225.807,311.559,2610.264,0.588,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1332146897,516446590,495887617,333488053,341653,425023,178.86,69.34,66.58,44.78,571,64289,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744807803,NA,NA,NA,NA
"4","OWID_NAM",NA,"북미",2022-10-03,114321967,45451,52119,1513772,331,505.429,190433.886,75.711,86.818,2521.593,0.551,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070373937,450114133,386773669,240489965,1458549,1370869,178.3,74.98,64.43,40.06,2284,83374,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600323657,NA,NA,NA,NA
"5","OWID_OCE",NA,"오세아니아",2022-10-03,12412922,5145,7385.857,20061,9,41.714,275604.711,114.235,163.989,445.415,0.2,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79682822,28831604,27773470,23014022,4848,4592,176.92,64.01,61.67,51.1,102,1047,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45038860,NA,NA,NA,NA
"6","OWID_SAM",NA,"남미",2022-10-03,63998029,15450,11810.571,1329632,375,123.429,146510.04,35.37,27.038,3043.913,0.858,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926686014,371745735,334064628,233199295,91996,122241,212.15,85.1,76.48,53.39,280,14443,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436816679,NA,NA,NA,NA
"7","KOR","Asia","한국",2022-10-03,24848184,16423,24931.571,28528,19,36.571,479548.326,316.95,481.158,550.566,0.367,0.706,0.69,361,6.967,1425,27.501,NA,NA,847,16.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,129355787,44846373,44422206,41066203,370,6495,249.65,86.55,85.73,79.25,125,157,0,11.11,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,NA,NA,NA,NA
"8","OWID_AFR",NA,"아프리카",2022-10-04,12360002,1217,866.286,256775,5,5.857,8663.128,0.853,0.607,179.974,0.004,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641925278,406826158,324782538,51879776,1263485,1248160,44.99,28.51,22.76,3.64,875,934440,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426736614,NA,NA,NA,NA
"9","OWID_ASI",NA,"아시아",2022-10-04,185888510,149537,128057.429,1486168,225,275.143,39371.62,31.672,27.123,314.774,0.048,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8715809773,3607771752,3388819950,1651939013,3084310,3644293,184.6,76.41,71.78,34.99,772,204266,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4721383370,NA,NA,NA,NA
"10","OWID_EUR",NA,"유럽",2022-10-04,230302048,384493,234353.143,1944938,793,517.143,309210.037,516.231,314.649,2611.329,1.065,0.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1332834970,516479537,496166291,333868661,773935,468295,178.95,69.34,66.62,44.83,629,64937,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744807803,NA,NA,NA,NA
