"","date","확진자_아프리카","확진자_아시아","확진자_유럽","확진자_북미","확진자_오세아니아","확진자_남미","확진자_한국","백신접종완료자_아프리카","백신접종완료자_아시아","백신접종완료자_유럽","백신접종완료자_북미","백신접종완료자_오세아니아","백신접종완료자_남미","백신접종완료자_한국"
"1",2022-10-03,754,84967,168183,45451,5145,15450,16423,22.76,71.77,66.58,64.43,61.67,76.48,85.73
"2",2022-10-04,1217,149537,384493,61078,1536,2379,34710,22.76,71.78,66.62,64.44,61.67,76.48,85.73
"3",2022-10-05,780,149638,330710,80045,3098,18412,28603,22.76,71.8,66.63,64.45,61.68,76.48,85.73
"4",2022-10-06,904,127116,394838,71088,31919,14690,22259,22.76,71.8,66.63,64.46,61.68,76.48,85.73
"5",2022-10-07,533,124355,375601,67185,2517,4412,19379,22.76,71.81,66.63,64.79,61.68,76.53,85.73
"6",2022-10-08,188,113807,90853,9182,840,4134,17654,22.76,71.81,66.63,64.8,61.68,76.53,85.74
"7",2022-10-09,568,122592,69523,8183,12216,5852,8981,23.4,71.82,66.63,64.8,61.68,76.53,85.74
"8",2022-10-10,980,110445,296965,24599,1336,19359,15476,23.4,71.83,66.64,64.81,61.7,76.54,85.74
"9",2022-10-11,1405,117881,487486,70668,2242,10724,30503,23.47,71.83,66.64,64.82,61.7,76.54,85.74
"10",2022-10-12,730,155108,319467,70813,1239,2827,26928,23.47,71.84,66.64,64.83,61.7,76.54,85.74
"11",2022-10-13,775,153278,391639,75093,26907,15123,23562,23.47,71.84,66.64,64.84,61.7,76.54,85.74
"12",2022-10-14,574,135959,291390,33382,3705,12498,22757,23.53,71.84,66.64,64.86,61.7,76.55,85.74
"13",2022-10-15,621,127930,73574,9864,621,5478,21469,23.53,71.85,66.64,64.86,61.7,76.55,85.74
"14",2022-10-16,347,105994,55333,8958,15088,6428,11040,23.76,71.86,66.64,64.87,61.7,76.55,85.74
"15",2022-10-17,2248,100214,327928,40434,1152,4572,33190,23.81,71.86,66.65,64.88,61.71,76.56,85.74
