"","iso_code","continent","location","인구수","전체사망자수","백신접종자완료자수","인구백명당백신접종완료율","인구백명당부스터접종자수","십만명당사망자수","백신접종완료율"
"1","ABW","North America","Aruba",106459,340,84017,78.92,-Inf,319.37178,0.78919584065227
"2","AFG","Asia","Afghanistan",41128772,7854,10825004,26.32,-Inf,19.09612,0.263197841160927
"3","AGO","Africa","Angola",35588996,1933,8253873,23.19,4.09,5.43145,0.231922052535565
"4","AIA","North America","Anguilla",15877,13,10377,65.36,20.43,81.87945,0.653586949675631
"5","ALB","Europe","Albania",2842318,3596,1270016,44.68,13.27,126.51646,0.446824035874944
"6","AND","Europe","Andorra",79843,167,53485,66.99,53.83,209.16048,0.66987713387523
"7","ARE","Asia","United Arab Emirates",9441138,2348,9792266,103.72,54.43,24.86988,1.03719127927163
"8","ARG","South America","Argentina",45510324,130249,37930627,83.35,75.25,286.1966,0.833451042888642
"9","ARM","Asia","Armenia",2780472,8718,985807,35.45,1.46,313.54389,0.35454663812475
"10","ATG","North America","Antigua and Barbuda",93772,146,62384,66.53,10.49,155.6968,0.665273215885339
"11","AUS","Oceania","Australia",26177410,17066,21655301,82.73,75.34,65.19362,0.827251473694304
"12","AUT","Europe","Austria",8939617,21641,6822860,76.32,75.33,242.07972,0.763216142257549
"13","AZE","Asia","Azerbaijan",10358078,10033,4862494,46.94,32.46,96.8616,0.469439793753243
"14","BDI","Africa","Burundi",12889583,38,27957,0.22,0,0.29481,0.00216896078018971
"15","BEL","Europe","Belgium",11655923,33512,9167087,78.65,99.46,287.51048,0.786474567479555
"16","BEN","Africa","Benin",13352864,163,2742837,20.54,-Inf,1.22071,0.205411887666945
"17","BES","North America","Bonaire Sint Eustatius and Saba",27052,43,16736,61.87,-Inf,158.95313,0.618660357829366
"18","BFA","Africa","Burkina Faso",22673764,396,3335753,14.71,-Inf,1.74651,0.147119507815288
"19","BGD","Asia","Bangladesh",171186368,29441,128991652,75.35,38.24,17.19822,0.753515910799626
"20","BGR","Europe","Bulgaria",6781955,38135,2075095,30.6,11.33,562.30099,0.305972982716636
"21","BHR","Asia","Bahrain",1472237,1539,1226796,83.33,68.51,104.5348,0.833287031911302
"22","BHS","North America","Bahamas",409989,833,165633,40.4,8.94,203.17618,0.403993765686396
"23","BIH","Europe","Bosnia and Herzegovina",3233530,16261,846080,26.17,3.73,502.88694,0.261658311504764
"24","BLR","Europe","Belarus",9534956,7118,6403134,67.15,48.38,74.65163,0.671543109375649
"25","BLZ","North America","Belize",405285,692,221283,54.6,12.61,170.74404,0.545993560087346
"26","BMU","North America","Bermuda",64207,155,47657,74.22,55.81,241.4067,0.742239942685377
"27","BOL","South America","Bolivia",12224114,22324,6160585,50.4,17.73,182.62264,0.503969858265393
"28","BRA","South America","Brazil",215313504,695171,175284167,81.41,57.58,322.86456,0.814088126121435
"29","BRB","North America","Barbados",281646,569,155010,55.04,22.07,202.02666,0.550371743252168
"30","BRN","Asia","Brunei",449002,225,445929,99.32,75.5,50.11114,0.993155932490278
"31","BTN","Asia","Bhutan",782457,21,677669,86.61,81.11,2.68385,0.866078263725674
"32","BWA","Africa","Botswana",2630300,2877,1426050,54.22,18.99,109.37916,0.542162490970612
"33","CAF","Africa","Central African Republic",5579148,113,1934575,34.68,3.84,2.0254,0.346750973446125
"34","CAN","North America","Canada",38454328,50154,31736582,82.53,78.08,130.42485,0.825305853739012
"35","CHE","Europe","Switzerland",8740471,14353,6011725,68.78,55.46,164.21312,0.687803323184757
"36","CHL","South America","Chile",19603736,51095,17696343,90.27,139.9,260.63909,0.902702576692524
"37","CHN","Asia","China",1425887360,4365,1274018000,89.35,57.21,0.30613,0.893491334406667
"38","CIV","Africa","Cote d'Ivoire",28160548,833,11660147,41.41,7.21,2.95804,0.414059662475318
"39","CMR","Africa","Cameroon",27914542,1965,3110433,11.14,1.62,7.03934,0.111426975946802
